,book_id,title,num_of_pages,Language,Authors,Publisher,CountsOfReview,Rating,image_url,Publish Date
468,17206,Lady Friday (The Keys to the Kingdom #5),320,eng,Garth Nix,Scholastic,268,3.92,https://images.gr-assets.com/books/1304528767m/17206.jpg,2007-03-01
585,24781,The High King (The Chronicles of Prydain #5),253,eng,Lloyd Alexander,Square Fish,969,4.25,https://images.gr-assets.com/books/1407209964m/24781.jpg,2006-05-16
388,13618,Death Note Vol. 3: Hard Run (Death Note #3),200,eng,Tsugumi Ohba,VIZ Media LLC,751,4.43,https://images.gr-assets.com/books/1419952370m/13618.jpg,2006-01-03
324,11003,Eleven on Top (Stephanie Plum #11),321,eng,Janet Evanovich,St. Martin's Press,1737,4.16,https://images.gr-assets.com/books/1166394806m/11003.jpg,2006-06-20
513,19670,Debt of Honor (Jack Ryan #7),990,eng,Tom Clancy,Berkley Books,474,4.05,https://images.gr-assets.com/books/1310086695m/19670.jpg,1995-08-01
9,34,The Fellowship of the Ring (The Lord of the Rings #1),398,eng,J.R.R. Tolkien,Houghton Mifflin Harcourt,13935,4.36,https://images.gr-assets.com/books/1298411339m/34.jpg,2003-09-05
249,8337,Little House in the Big Woods (Little House #1),198,eng,Laura Ingalls Wilder,HarperTrophy,3514,4.18,https://images.gr-assets.com/books/1475195170m/8337.jpg,2007-01-01
22,432,City of Glass (The New York Trilogy #1),203,eng,Paul Auster,Penguin Books,748,3.79,https://images.gr-assets.com/books/1309986722m/432.jpg,1987-04-07
356,12075,Tractatus Logico-Philosophicus,142,eng,Ludwig Wittgenstein,Routledge Classics,411,4.07,https://images.gr-assets.com/books/1396830687m/12075.jpg,2001-09-01
221,6969,Emma,474,eng,Jane Austen,Penguin Books,11719,4.0,https://images.gr-assets.com/books/1373627931m/6969.jpg,2003-05-06
582,24770,Uglies (Uglies #1),425,eng,Scott Westerfeld,Simon Pulse,20834,3.86,https://images.gr-assets.com/books/1443904172m/24770.jpg,2005-02-08
741,34517,Reaper Man (Discworld #11; Death #2),352,eng,Terry Pratchett,Corgi,1469,4.28,https://images.gr-assets.com/books/1389211958m/34517.jpg,2005-04-01
845,44184,Monster,281,eng,Walter Dean Myers,Amistad,5398,3.72,https://images.gr-assets.com/books/1404962824m/44184.jpg,2019-03-05
545,22207,Lullabies for Little Criminals,330,eng,Heather O'Neill,Harper Perennial,1380,3.98,https://images.gr-assets.com/books/1327893204m/22207.jpg,2006-10-17
340,11566,The Green Mile,592,eng,Stephen King,Penguin Signet,4693,4.44,https://images.gr-assets.com/books/1373903563m/11566.jpg,1996-09-01
765,38180,On the Beach,296,eng,Nevil Shute,House of Stratus,1769,3.94,https://images.gr-assets.com/books/1327943327m/38180.jpg,2002-10-31
203,6425,Hard Eight (Stephanie Plum #8),326,eng,Janet Evanovich,St. Martin's Press,1885,4.18,https://images.gr-assets.com/books/1479699438m/6425.jpg,2003-06-16
237,7714,Pygmalion,82,eng,George Bernard Shaw,Dover Publications,1662,3.9,https://images.gr-assets.com/books/1453757285m/7714.jpg,1994-10-20
93,3446,Going After Cacciato,351,eng,Tim O'Brien,Broadway/Crown Publishing Group,645,3.91,https://images.gr-assets.com/books/1399498199m/3446.jpg,1999-09-01
450,16300,Sleeping Murder (Miss Marple #13),242,eng,Agatha Christie,Dodd Mead; 1st edition (September 1976),911,3.95,https://images.gr-assets.com/books/1308808135m/16300.jpg,2003-08-04
570,23887,The Autumn of the Patriarch,255,eng,Gabriel García Márquez,Harper Perennial Modern Classics,499,3.85,https://images.gr-assets.com/books/1410136666m/23887.jpg,2006-03-14
542,22175,Strange Pilgrims,208,eng,Gabriel García Márquez,Vintage,427,4.03,https://images.gr-assets.com/books/1411334612m/22175.jpg,2006-11-14
284,9838,The Bookseller of Kabul,288,en-US,Åsne Seierstad,"Little, Brown and Company",2487,3.77,https://images.gr-assets.com/books/1388611939m/9838.jpg,2004-10-26
184,5797,Vanity Fair,867,eng,William Makepeace Thackeray,Penguin Books,2316,3.79,https://images.gr-assets.com/books/1344386439m/5797.jpg,2003-01-30
